area,bmmc,hdrs,zgrys,isga,yxsj
市级部门,发改委,281,81,true,956
市级部门,教委,32,18,true,956
市级部门,科委,66,45,true,956
市级部门,经信委,35,23,true,956
市级部门,民委,19,0,true,956
市级部门,公安局,24705,137,true,956
市级部门,国安局,0,0,true,956
市级部门,民政局,126,0,true,956
市级部门,司法局,64,19,true,956
市级部门,财政局,26,22,true,956
市级部门,人社局,180,132,true,956
市级部门,国土局,29,20,true,956
市级部门,环保局,132,79,true,956
市级部门,规划委,33,33,true,956
市级部门,住建委,435,208,true,956
市级部门,市城管委,2,2,true,956
市级部门,交通委,1277,1166,true,956
市级部门,农业局,265,212,true,956
市级部门,水务局,486,364,true,956
市级部门,商委,171,63,true,956
市级部门,旅游委,36,32,true,956
市级部门,卫计委,125,67,true,956
市级部门,审计局,773,521,true,956
市级部门,地税局,21,0,true,956
市级部门,工商局,103,85,true,956
市级部门,质监局,60,39,true,956
市级部门,安监局,94,62,true,956
市级部门,食药局,168,100,true,956
市级部门,文物局,44,14,true,956
市级部门,体育局,32,12,true,956
市级部门,统计局,111,98,true,956
市级部门,园林绿化局,207,207,true,956
市级部门,知识产权局,14,0,true,956
市级部门,民防局,70,50,true,956
市级部门,城管局,228,192,true,956
市级部门,文化执法总队,67,49,true,956
市级部门,开发区,299,258,true,956
市级部门,公积金,5,5,true,956
市级部门,通管局,0,0,true,956
市级部门,邮管局,0,0,true,956
市级部门,地震局,16,16,true,956
市级部门,气象局,15,9,true,956
市级部门,档案局,56,46,true,956
市级部门,保密局,44,26,true,956
市级部门,烟草局,0,0,true,956
市级部门,网信办,12,12,true,956
市级部门,外办,0,0,true,956
市级部门,侨办,0,0,true,956
市级部门,新闻广电局,101,1,true,956
市级部门,文化局,13,0,true,956
市级部门,金融局,0,0,true,956
市级部门,地方志,0,0,true,956
市级部门,编办,0,0,true,956
东城区,发改委,53,47,true,256
东城区,教委,55,35,true,256
东城区,科委,2,2,true,256
东城区,经信委,0,0,true,256
东城区,民委,10,8,true,256
东城区,公安局,0,0,true,256
东城区,国安局,0,0,true,256
东城区,民政局,23,21,true,256
东城区,司法局,11,11,true,256
东城区,财政局,19,17,true,256
东城区,人社局,26,22,true,256
东城区,国土局,22,2,true,256
东城区,环保局,90,51,true,256
东城区,规划委,5,0,true,256
东城区,住建委,46,37,true,256
东城区,市城管委,19,15,true,256
东城区,交通委,0,0,true,256
东城区,农业局,0,0,true,256
东城区,水务局,7,5,true,256
东城区,商委,5,5,true,256
东城区,旅游委,6,4,true,256
东城区,卫计委,140,123,true,256
东城区,审计局,68,43,true,256
东城区,地税局,368,368,true,256
东城区,工商局,228,211,true,256
