area,bmmc,gwsl,zqs,sjzqs,isga,yxsj
市级部门,发改委,44,156,136,true,956
市级部门,教委,32,86,61,true,956
市级部门,科委,13,92,30,true,956
市级部门,经信委,20,156,142,true,956
市级部门,民委,2,88,7,true,956
市级部门,公安局,77,1316,775,true,956
市级部门,国安局,0,8,0,true,956
市级部门,民政局,13,251,185,true,956
市级部门,司法局,18,140,136,true,956
市级部门,财政局,16,414,385,true,956
市级部门,人社局,31,207,148,true,956
市级部门,国土局,2,209,151,true,956
市级部门,环保局,28,408,381,true,956
市级部门,规划委,2,293,10,true,956
市级部门,住建委,111,809,802,true,956
市级部门,市城管委,1,28,3,true,956
市级部门,交通委,39,575,481,true,956
市级部门,农业局,68,739,694,true,956
市级部门,水务局,62,576,474,true,956
市级部门,商委,13,431,409,true,956
市级部门,旅游委,7,111,111,true,956
市级部门,卫计委,30,836,775,true,956
市级部门,审计局,4,46,46,true,956
市级部门,地税局,10,81,79,true,956
市级部门,工商局,20,1266,1264,true,956
市级部门,质监局,15,444,436,true,956
市级部门,安监局,11,475,474,true,956
市级部门,食药局,8,810,651,true,956
市级部门,文物局,15,146,143,true,956
市级部门,体育局,16,40,39,true,956
市级部门,统计局,28,63,63,true,956
市级部门,园林绿化局,62,310,260,true,956
市级部门,知识产权局,3,40,36,true,956
市级部门,民防局,16,98,76,true,956
市级部门,城管局,4,412,412,true,956
市级部门,文化执法总队,8,695,645,true,956
市级部门,开发区,57,2428,2383,true,956
市级部门,公积金,2,4,4,true,956
市级部门,通管局,0,298,0,true,956
市级部门,邮管局,0,125,0,true,956
市级部门,地震局,4,30,30,true,956
市级部门,气象局,2,84,84,true,956
市级部门,档案局,8,24,22,true,956
市级部门,保密局,8,54,49,true,956
市级部门,烟草局,0,35,0,true,956
市级部门,网信办,2,10,10,true,956
市级部门,外办,0,0,0,true,956
市级部门,侨办,0,0,0,true,956
市级部门,新闻广电局,18,99,56,true,956
市级部门,文化局,6,26,19,true,956
市级部门,金融局,0,7,0,true,956
市级部门,地方志,0,7,0,true,956
市级部门,编办,0,0,0,true,956
东城区,发改委,5,58,48,true,256
东城区,教委,4,38,38,true,256
东城区,科委,1,1,1,true,256
东城区,经信委,0,9,0,true,256
东城区,民委,8,59,59,true,256
东城区,公安局,0,1259,0,true,256
东城区,国安局,0,0,0,true,256
东城区,民政局,23,248,206,true,256
东城区,司法局,7,78,77,true,256
东城区,财政局,5,302,302,true,256
东城区,人社局,7,141,117,true,256
东城区,国土局,10,0,151,true,256
东城区,环保局,22,349,337,true,256
东城区,规划委,4,0,10,true,256
东城区,住建委,9,477,478,true,256
东城区,市城管委,16,43,27,true,256
东城区,交通委,0,0,0,true,256
东城区,农业局,0,107,0,true,256
东城区,水务局,4,35,33,true,256
东城区,商委,2,250,173,true,256
东城区,旅游委,4,91,91,true,256
东城区,卫计委,20,709,783,true,256
东城区,审计局,4,46,46,true,256
东城区,地税局,12,121,120,true,256
东城区,工商局,30,1202,1202,true,256
东城区,质监局,9,441,434,true,256
东城区,安监局,10,420,420,true,256
东城区,食药局,10,692,533,true,256
东城区,文物局,0,0,0,true,256
东城区,体育局,4,28,28,true,256
东城区,统计局,2,44,26,true,256
东城区,园林绿化局,2,174,126,true,256
东城区,知识产权局,0,0,0,true,256
东城区,民防局,5,84,22,true,256
东城区,城管局,2,412,412,true,256
东城区,文化执法总队,7,711,640,true,256
东城区,开发区,0,0,0,true,256
东城区,公积金,0,0,0,true,256
东城区,通管局,0,0,0,true,256
东城区,邮管局,0,0,0,true,256
东城区,地震局,0,24,0,true,256
东城区,气象局,0,0,0,true,256
东城区,档案局,5,17,14,true,256
东城区,保密局,3,42,42,true,256
东城区,烟草局,0,34,0,true,256
东城区,网信办,0,0,0,true,256
东城区,外办,0,0,0,true,256
东城区,侨办,0,0,0,true,256
东城区,新闻广电局,0,0,0,true,256
东城区,文化局,0,0,0,true,256
东城区,金融局,0,0,0,true,256
东城区,地方志,0,0,0,true,256
东城区,编办,0,0,0,true,256
西城区,发改委,10,58,55,true,237
西城区,教委,4,38,32,true,237
西城区,科委,2,10,1,true,237
西城区,经信委,0,0,0,true,237
西城区,民委,8,59,54,true,237
西城区,公安局,0,1342,0,true,237
西城区,国安局,0,7,0,true,237
西城区,民政局,20,248,207,true,237
西城区,司法局,11,78,78,true,237
西城区,财政局,4,302,298,true,237
西城区,人社局,6,141,116,true,237
西城区,国土局,10,0,151,true,237
西城区,环保局,11,349,344,true,237
西城区,规划委,0,0,0,true,237
西城区,住建委,12,508,443,true,237
西城区,市城管委,5,35,16,true,237
西城区,交通委,0,0,0,true,237
西城区,农业局,0,107,0,true,237
西城区,水务局,2,30,30,true,237
西城区,商委,1,250,216,true,237
西城区,旅游委,2,91,89,true,237
西城区,卫计委,18,717,793,true,237
西城区,审计局,2,46,45,true,237
