bmjc,zqs,rate,lzs,order_no,year
发改委,102,0.029411765,3,1,2016
教委,52,0,0,2,2016
科委,22,0,0,3,2016
经信委,113,0,0,4,2016
民委,38,0,0,5,2016
公安局,1059,0.25401322,269,6,2016
国安局,7,0,0,7,2016
民政局,121,0.074380165,9,8,2016
司法局,139,0.035971223,5,9,2016
财政局,356,0.019662921,7,10,2016
人社局,114,0.087719298,10,11,2016
国土局,101,0.069306931,7,12,2016
环保局,340,0.173529412,59,13,2016
规划委,207,0.014492754,3,14,2016
住建委,587,0.141396934,83,15,2016
市城管委,8,0,0,16,2016
交通委,425,0.207058824,88,17,2016
农业局,414,0.137681159,57,18,2016
水务局,456,0.105263158,48,19,2016
商委,315,0.114285714,36,20,2016
商委,28,0,0,20,2016
旅游委,96,0.041666667,4,21,2016
卫计委,728,0.142857143,104,22,2016
审计局,28,0,0,23,2016
地税局,59,0.389830508,23,24,2016
工商局,1065,0.189671362,202,25,2016
质监局,399,0.165413534,66,26,2016
安监局,445,0.202247191,90,27,2016
食药局,525,0.154285714,81,28,2016
文物局,66,0.015151515,1,29,2016
体育局,25,0.04,1,30,2016
统计局,36,0.055555556,2,31,2016
园林绿化局,175,0.097142857,17,32,2016
知识产权局,31,0,0,33,2016
民防局,19,0.421052632,8,34,2016
城管局,402,0.567164179,228,35,2016
文化执法总队,673,0.112927192,76,36,2016
公积金,4,0.25,1,38,2016
通管局,298,0,0,39,2016
邮管局,125,0.056,7,40,2016
地震局,30,0,0,41,2016
气象局,84,0.083333333,7,42,2016
档案局,5,0,0,43,2016
保密局,3,0,0,44,2016
烟草局,35,0.114285714,4,45,2016
网信办,10,0,0,46,2016
发改委,102,0.029411765,3,1,2015
教委,52,0,0,2,2015
科委,22,0,0,3,2015
经信委,113,0,0,4,2015
民委,38,0,0,5,2015
公安局,1059,0.25401322,269,6,2015
国安局,7,0,0,7,2015
民政局,121,0.074380165,9,8,2015
司法局,139,0.035971223,5,9,2015
财政局,356,0.019662921,7,10,2015
人社局,114,0.087719298,10,11,2015
国土局,101,0.069306931,7,12,2015
环保局,340,0.173529412,59,13,2015
规划委,207,0.014492754,3,14,2015
住建委,587,0.141396934,83,15,2015
市城管委,8,0,0,16,2015
交通委,425,0.207058824,88,17,2015
农业局,414,0.137681159,57,18,2015
水务局,456,0.105263158,48,19,2015
商委,315,0.114285714,36,20,2015
商委,28,0,0,20,2015
旅游委,96,0.041666667,4,21,2015
卫计委,728,0.142857143,104,22,2015
审计局,28,0,0,23,2015
地税局,59,0.389830508,23,24,2015
工商局,1065,0.189671362,202,25,2015
质监局,399,0.165413534,66,26,2015
安监局,445,0.202247191,90,27,2015
食药局,525,0.154285714,81,28,2015
文物局,66,0.015151515,1,29,2015
体育局,25,0.04,1,30,2015
统计局,36,0.055555556,2,31,2015
园林绿化局,175,0.097142857,17,32,2015
知识产权局,31,0,0,33,2015
民防局,19,0.421052632,8,34,2015
城管局,402,0.567164179,228,35,2015
文化执法总队,673,0.112927192,76,36,2015
公积金,4,0.25,1,38,2015
通管局,298,0,0,39,2015
邮管局,125,0.056,7,40,2015
地震局,30,0,0,41,2015
气象局,84,0.083333333,7,42,2015
档案局,5,0,0,43,2015
保密局,3,0,0,44,2015
烟草局,35,0.114285714,4,45,2015
网信办,10,0,0,46,2015
