ajje,ajsl,name,fyajs,gdp,mj,rk,type,zone,zfrys,rjzfl,year
5788,18106,西城,512,3270.4,51,129.8,功能核心区,bjxc,2078,8.71,2015
2461,14813,东城,179,1857.8,42,90.5,功能核心区,bjdc,2142,6.92,2015
9699,24970,海淀,564,4613.5,431,369.4,功能拓展区,bjhd,2533,9.86,2015
8088,16798,丰台,198,1169.9,306,232.4,功能拓展区,bjft,2533,6.63,2015
1044,4304,石景山,69,430.2,86,65.2,功能拓展区,bjsjs,1224,3.52,2015
2414,2619,门头沟,39,144.5,1455,30.8,生态涵养区,bjmtg,1268,2.07,2015
3176,10744,房山,224,554.7,1994,104.6,城市发展新区,bjfs,2183,4.92,2015
9256,15610,通州,160,594.5,912,137.8,城市发展新区,bjtz,1853,8.42,2015
2497,7489,顺义,159,1440.9,1021,102,城市发展新区,bjsy,2117,3.54,2015
6141,15060,大兴,142,1591.6,1040,156.2,城市发展新区,bjdx,2164,6.96,2015
2868,7644,昌平,215,657.3,1352,196.3,城市发展新区,bjcp,2142,3.57,2015
1226,4431,平谷,56,196.2,1075,42.3,生态涵养区,bjpg,1553,2.85,2015
996,3679,怀柔,59,234.2,2128,38.4,生态涵养区,bjhr,1551,2.37,2015
947,5742,密云,29,226.7,2227,47.9,生态涵养区,bjmy,1996,2.88,2015
474,2079,延庆,24,107.35,1993,31.4,生态涵养区,bjyq,1502,1.38,2015
9708,38302,朝阳,564,4640.2,465,395.5,功能拓展区,bjcy,3138,12.21,2015
1685,10717,延庆,19,107.35,1993,31.4,生态涵养区,bjyq,1502,7.14,2016
1642,7428,密云,42,226.7,2227,47.9,生态涵养区,bjmy,1996,3.72,2016
2051,6554,怀柔,44,234.2,2128,38.4,生态涵养区,bjhr,1551,4.23,2016
1588,8118,平谷,93,196.2,1075,42.3,生态涵养区,bjpg,1553,5.23,2016
7769,21413,昌平,157,657.3,1352,196.3,城市发展新区,bjcp,2142,10,2016
8110,36071,大兴,159,1591.6,1040,156.2,城市发展新区,bjdx,2164,16.67,2016
4639,21412,顺义,142,1440.9,1021,102,城市发展新区,bjsy,2117,10.11,2016
6509,24462,通州,145,594.5,912,137.8,城市发展新区,bjtz,1853,13.2,2016
4110,15692,房山,200,554.7,1994,104.6,城市发展新区,bjfs,2183,7.19,2016
2291,6633,门头沟,106,144.5,1455,30.8,生态涵养区,bjmtg,1268,5.23,2016
1546,8549,石景山,68,430.2,86,65.2,功能拓展区,bjsjs,1224,6.98,2016
22137,43282,丰台,223,1169.9,306,232.4,功能拓展区,bjft,2533,17.09,2016
9726,75058,海淀,696,4613.5,431,369.4,功能拓展区,bjhd,2533,29.63,2016
16047,74967,朝阳,696,4640.2,465,395.5,功能拓展区,bjcy,3138,23.89,2016
6211,31379,西城,416,3270.4,51,129.8,功能核心区,bjxc,2078,15.1,2016
4275,24709,东城,256,1857.8,42,90.5,功能核心区,bjdc,2142,11.54,2016
3,56,延庆,2,107.35,1993,31.4,生态涵养区,bjyq,1502,0.04,2017
8,34,密云,3,226.7,2227,47.9,生态涵养区,bjmy,1996,0.02,2017
4,24,平谷,7,196.2,1075,42.3,生态涵养区,bjpg,1553,0.02,2017
10,36,昌平,10,657.3,1352,196.3,城市发展新区,bjcp,2142,0.02,2017
3,22,大兴,14,1591.6,1040,156.2,城市发展新区,bjdx,2164,0.01,2017
25,26,顺义,7,1440.9,1021,102,城市发展新区,bjsy,2117,0.01,2017
16,77,通州,2,594.5,912,137.8,城市发展新区,bjtz,1853,0.04,2017
18,27,房山,11,554.7,1994,104.6,城市发展新区,bjfs,2183,0.01,2017
0,16,门头沟,2,144.5,1455,30.8,生态涵养区,bjmtg,1268,0.01,2017
0,2,石景山,11,430.2,86,65.2,功能拓展区,bjsjs,1224,0,2017
5,17,丰台,20,1169.9,306,232.4,功能拓展区,bjft,2533,0.01,2017
99,16,海淀,37,4613.5,431,369.4,功能拓展区,bjhd,2533,0.01,2017
7,177,朝阳,25,4640.2,465,395.5,功能拓展区,bjcy,3138,0.06,2017
8,17,怀柔,0,234.2,2128,38.4,生态涵养区,bjhr,1551,0.01,2017
3,6,东城,8,1857.8,42,90.5,功能核心区,bjdc,2142,0,2017
5,14,西城,21,3270.4,51,129.8,功能核心区,bjxc,2078,0.01,2017
0,0,怀柔,0,234.2,2128,38.4,生态涵养区,bjhr,1551,0,2018
0,0,房山,0,554.7,1994,104.6,城市发展新区,bjfs,2183,0,2018
0,0,东城,0,1857.8,42,90.5,功能核心区,bjdc,2142,0,2018
0,0,顺义,0,1440.9,1021,102,城市发展新区,bjsy,2117,0,2018
0,0,延庆,0,107.35,1993,31.4,生态涵养区,bjyq,1502,0,2018
0,0,密云,0,226.7,2227,47.9,生态涵养区,bjmy,1996,0,2018
0,0,朝阳,0,4640.2,465,395.5,功能拓展区,bjcy,3138,0,2018
0,0,通州,0,594.5,912,137.8,城市发展新区,bjtz,1853,0,2018
0,0,石景山,0,430.2,86,65.2,功能拓展区,bjsjs,1224,0,2018
0,0,平谷,0,196.2,1075,42.3,生态涵养区,bjpg,1553,0,2018
0,0,门头沟,0,144.5,1455,30.8,生态涵养区,bjmtg,1268,0,2018
0,0,大兴,0,1591.6,1040,156.2,城市发展新区,bjdx,2164,0,2018
0,0,丰台,0,1169.9,306,232.4,功能拓展区,bjft,2533,0,2018
0,0,西城,0,3270.4,51,129.8,功能核心区,bjxc,2078,0,2018
0,0,昌平,0,657.3,1352,196.3,城市发展新区,bjcp,2142,0,2018
0,0,海淀,0,4613.5,431,369.4,功能拓展区,bjhd,2533,0,2018
